Ranking diari,Audiencia,Cadena,Dia,Mes,Any
281,"0,7%",dkiss,11,01,2019
282,"0,6%",canal24horas,11,01,2019
283,"0,6%",teledeporte,11,01,2019
284,"0,3%",ten,11,01,2019
285,"0,2%",real-madrid-tv,11,01,2019
286,"11,6%",telecinco,12,01,2019
287,"11,1%",antena3,12,01,2019
288,"9,4%",la1,12,01,2019
289,"6,7%",cuatro,12,01,2019
290,"6,4%",lasexta,12,01,2019
291,"3,0%",la2,12,01,2019
292,"2,9%",fdf,12,01,2019
293,"2,9%",neox,12,01,2019
294,"2,7%",energy,12,01,2019
295,"2,1%",clan,12,01,2019
296,"2,0%",13tv,12,01,2019
297,"1,9%",paramountchannel,12,01,2019
298,"1,7%",divinity,12,01,2019
299,"1,6%",atreseries,12,01,2019
300,"1,6%",nova,12,01,2019
301,"1,6%",discoverymax,12,01,2019
302,"1,5%",mega-espana,12,01,2019
303,"1,4%",boing,12,01,2019
304,"1,3%",disney-channel,12,01,2019
305,"1,0%",gol-television,12,01,2019
306,"0,8%",canal24horas,12,01,2019
307,"0,7%",bemadtv,12,01,2019
308,"0,7%",dkiss,12,01,2019
309,"0,5%",teledeporte,12,01,2019
310,"0,4%",ten,12,01,2019
311,"0,3%",real-madrid-tv,12,01,2019
312,"11,3%",la1,13,01,2019
313,"11,0%",telecinco,13,01,2019
314,"10,9%",antena3,13,01,2019
315,"7,0%",cuatro,13,01,2019
316,"5,8%",lasexta,13,01,2019
317,"2,9%",fdf,13,01,2019
318,"2,9%",neox,13,01,2019
319,"2,9%",la2,13,01,2019
320,"2,8%",energy,13,01,2019
321,"2,4%",13tv,13,01,2019
322,"1,8%",paramountchannel,13,01,2019
323,"1,7%",clan,13,01,2019
324,"1,7%",divinity,13,01,2019
325,"1,7%",discoverymax,13,01,2019
326,"1,6%",nova,13,01,2019
327,"1,5%",mega-espana,13,01,2019
328,"1,1%",atreseries,13,01,2019
329,"1,0%",disney-channel,13,01,2019
330,"1,0%",gol-television,13,01,2019
331,"1,0%",boing,13,01,2019
332,"0,8%",canal24horas,13,01,2019
333,"0,8%",teledeporte,13,01,2019
334,"0,7%",bemadtv,13,01,2019
335,"0,7%",dkiss,13,01,2019
336,"0,5%",real-madrid-tv,13,01,2019
337,"0,2%",ten,13,01,2019
338,"15,6%",antena3,14,01,2019
339,"15,1%",telecinco,14,01,2019
340,"9,8%",la1,14,01,2019
341,"7,9%",lasexta,14,01,2019
342,"4,6%",cuatro,14,01,2019
343,"2,7%",nova,14,01,2019
344,"2,7%",la2,14,01,2019
345,"2,5%",fdf,14,01,2019
346,"2,2%",neox,14,01,2019
347,"2,2%",energy,14,01,2019
348,"2,1%",13tv,14,01,2019
349,"1,8%",divinity,14,01,2019
350,"1,6%",mega-espana,14,01,2019
351,"1,5%",clan,14,01,2019
352,"1,5%",paramountchannel,14,01,2019
353,"1,5%",discoverymax,14,01,2019
354,"1,3%",gol-television,14,01,2019
355,"1,2%",atreseries,14,01,2019
356,"1,0%",boing,14,01,2019
357,"0,8%",disney-channel,14,01,2019
358,"0,8%",canal24horas,14,01,2019
359,"0,7%",dkiss,14,01,2019
360,"0,7%",teledeporte,14,01,2019
361,"0,6%",bemadtv,14,01,2019
362,"0,3%",ten,14,01,2019
363,"0,3%",real-madrid-tv,14,01,2019
364,"16,1%",telecinco,15,01,2019
365,"15,1%",antena3,15,01,2019
366,"8,9%",la1,15,01,2019
367,"7,9%",lasexta,15,01,2019
368,"5,5%",cuatro,15,01,2019
369,"2,6%",fdf,15,01,2019
370,"2,4%",nova,15,01,2019
371,"2,4%",la2,15,01,2019
372,"2,3%",neox,15,01,2019
373,"2,2%",13tv,15,01,2019
374,"2,0%",energy,15,01,2019
375,"1,7%",divinity,15,01,2019
376,"1,6%",discoverymax,15,01,2019
377,"1,6%",mega-espana,15,01,2019
378,"1,4%",clan,15,01,2019
379,"1,4%",paramountchannel,15,01,2019
380,"1,2%",atreseries,15,01,2019
381,"1,1%",canal24horas,15,01,2019
382,"0,9%",disney-channel,15,01,2019
383,"0,9%",boing,15,01,2019
384,"0,8%",dkiss,15,01,2019
385,"0,6%",gol-television,15,01,2019
386,"0,6%",teledeporte,15,01,2019
387,"0,5%",bemadtv,15,01,2019
388,"0,4%",ten,15,01,2019
389,"0,2%",real-madrid-tv,15,01,2019
390,"14,3%",telecinco,16,01,2019
391,"14,3%",antena3,16,01,2019
392,"9,9%",la1,16,01,2019
393,"7,6%",lasexta,16,01,2019
394,"4,2%",cuatro,16,01,2019
395,"2,9%",la2,16,01,2019
396,"2,6%",fdf,16,01,2019
397,"2,5%",neox,16,01,2019
398,"2,3%",nova,16,01,2019
399,"2,3%",energy,16,01,2019
400,"2,0%",13tv,16,01,2019
401,"1,7%",paramountchannel,16,01,2019
402,"1,6%",clan,16,01,2019
403,"1,6%",divinity,16,01,2019
404,"1,5%",mega-espana,16,01,2019
405,"1,5%",discoverymax,16,01,2019
406,"1,3%",atreseries,16,01,2019
407,"1,2%",canal24horas,16,01,2019
408,"1,0%",boing,16,01,2019
409,"0,9%",gol-television,16,01,2019
410,"0,8%",dkiss,16,01,2019
411,"0,8%",disney-channel,16,01,2019
412,"0,8%",teledeporte,16,01,2019
413,"0,6%",bemadtv,16,01,2019
414,"0,4%",ten,16,01,2019
415,"0,3%",real-madrid-tv,16,01,2019
416,"16,9%",telecinco,17,01,2019
417,"13,8%",antena3,17,01,2019
418,"9,2%",la1,17,01,2019
419,"7,6%",lasexta,17,01,2019
420,"4,0%",cuatro,17,01,2019
421,"2,8%",fdf,17,01,2019
422,"2,7%",neox,17,01,2019
423,"2,6%",la2,17,01,2019
424,"2,3%",nova,17,01,2019
425,"2,1%",13tv,17,01,2019
426,"2,0%",energy,17,01,2019
427,"1,7%",divinity,17,01,2019
428,"1,7%",clan,17,01,2019
429,"1,6%",mega-espana,17,01,2019
430,"1,5%",paramountchannel,17,01,2019
431,"1,5%",gol-television,17,01,2019
432,"1,5%",atreseries,17,01,2019
433,"1,5%",discoverymax,17,01,2019
434,"0,9%",dkiss,17,01,2019
435,"0,9%",boing,17,01,2019
436,"0,9%",canal24horas,17,01,2019
437,"0,9%",disney-channel,17,01,2019
438,"0,7%",teledeporte,17,01,2019
439,"0,4%",ten,17,01,2019
440,"0,4%",bemadtv,17,01,2019
441,"0,1%",real-madrid-tv,17,01,2019
442,"15,4%",telecinco,18,01,2019
443,"15,0%",antena3,18,01,2019
444,"8,5%",la1,18,01,2019
445,"7,3%",lasexta,18,01,2019
446,"4,8%",cuatro,18,01,2019
447,"2,8%",fdf,18,01,2019
448,"2,4%",la2,18,01,2019
449,"2,3%",neox,18,01,2019
450,"2,2%",nova,18,01,2019
451,"2,1%",energy,18,01,2019
452,"1,9%",clan,18,01,2019
453,"1,8%",discoverymax,18,01,2019
454,"1,6%",13tv,18,01,2019
455,"1,6%",divinity,18,01,2019
456,"1,6%",paramountchannel,18,01,2019
457,"1,5%",atreseries,18,01,2019
458,"1,4%",gol-television,18,01,2019
459,"1,3%",mega-espana,18,01,2019
460,"1,2%",boing,18,01,2019
461,"1,1%",disney-channel,18,01,2019
462,"0,9%",canal24horas,18,01,2019
463,"0,7%",bemadtv,18,01,2019
464,"0,7%",dkiss,18,01,2019
465,"0,3%",ten,18,01,2019
466,"0,2%",teledeporte,18,01,2019
467,"0,2%",real-madrid-tv,18,01,2019
468,"12,5%",antena3,19,01,2019
469,"12,1%",telecinco,19,01,2019
470,"9,1%",la1,19,01,2019
471,"6,8%",lasexta,19,01,2019
472,"5,9%",cuatro,19,01,2019
473,"2,7%",fdf,19,01,2019
474,"2,6%",la2,19,01,2019
475,"2,4%",energy,19,01,2019
476,"2,1%",neox,19,01,2019
477,"1,9%",clan,19,01,2019
478,"1,8%",13tv,19,01,2019
479,"1,8%",divinity,19,01,2019
480,"1,6%",nova,19,01,2019
481,"1,6%",paramountchannel,19,01,2019
482,"1,5%",atreseries,19,01,2019
483,"1,5%",discoverymax,19,01,2019
484,"1,4%",disney-channel,19,01,2019
485,"1,4%",canal24horas,19,01,2019
486,"1,4%",boing,19,01,2019
487,"1,0%",mega-espana,19,01,2019
488,"1,0%",gol-television,19,01,2019
