index,Audiencia,Año,Cadena,Dia,Mes
20,"0,8%",2019,canal24horas,14,01
21,"0,7%",2019,dkiss,14,01
22,"0,7%",2019,teledeporte,14,01
23,"0,6%",2019,bemadtv,14,01
24,"0,3%",2019,ten,14,01
25,"0,3%",2019,real-madrid-tv,14,01
0,"16,1%",2019,telecinco,15,01
1,"15,1%",2019,antena3,15,01
2,"8,9%",2019,la1,15,01
3,"7,9%",2019,lasexta,15,01
4,"5,5%",2019,cuatro,15,01
5,"2,6%",2019,fdf,15,01
6,"2,4%",2019,nova,15,01
7,"2,4%",2019,la2,15,01
8,"2,3%",2019,neox,15,01
9,"2,2%",2019,13tv,15,01
10,"2,0%",2019,energy,15,01
11,"1,7%",2019,divinity,15,01
12,"1,6%",2019,discoverymax,15,01
13,"1,6%",2019,mega-espana,15,01
14,"1,4%",2019,clan,15,01
15,"1,4%",2019,paramountchannel,15,01
16,"1,2%",2019,atreseries,15,01
17,"1,1%",2019,canal24horas,15,01
18,"0,9%",2019,disney-channel,15,01
19,"0,9%",2019,boing,15,01
20,"0,8%",2019,dkiss,15,01
21,"0,6%",2019,gol-television,15,01
22,"0,6%",2019,teledeporte,15,01
23,"0,5%",2019,bemadtv,15,01
24,"0,4%",2019,ten,15,01
25,"0,2%",2019,real-madrid-tv,15,01
0,"14,3%",2019,telecinco,16,01
1,"14,3%",2019,antena3,16,01
2,"9,9%",2019,la1,16,01
3,"7,6%",2019,lasexta,16,01
4,"4,2%",2019,cuatro,16,01
5,"2,9%",2019,la2,16,01
6,"2,6%",2019,fdf,16,01
7,"2,5%",2019,neox,16,01
8,"2,3%",2019,nova,16,01
9,"2,3%",2019,energy,16,01
10,"2,0%",2019,13tv,16,01
11,"1,7%",2019,paramountchannel,16,01
12,"1,6%",2019,clan,16,01
13,"1,6%",2019,divinity,16,01
14,"1,5%",2019,mega-espana,16,01
15,"1,5%",2019,discoverymax,16,01
16,"1,3%",2019,atreseries,16,01
17,"1,2%",2019,canal24horas,16,01
18,"1,0%",2019,boing,16,01
19,"0,9%",2019,gol-television,16,01
20,"0,8%",2019,dkiss,16,01
21,"0,8%",2019,disney-channel,16,01
22,"0,8%",2019,teledeporte,16,01
23,"0,6%",2019,bemadtv,16,01
24,"0,4%",2019,ten,16,01
25,"0,3%",2019,real-madrid-tv,16,01
0,"16,9%",2019,telecinco,17,01
1,"13,8%",2019,antena3,17,01
2,"9,2%",2019,la1,17,01
3,"7,6%",2019,lasexta,17,01
4,"4,0%",2019,cuatro,17,01
5,"2,8%",2019,fdf,17,01
6,"2,7%",2019,neox,17,01
7,"2,6%",2019,la2,17,01
8,"2,3%",2019,nova,17,01
9,"2,1%",2019,13tv,17,01
10,"2,0%",2019,energy,17,01
11,"1,7%",2019,divinity,17,01
12,"1,7%",2019,clan,17,01
13,"1,6%",2019,mega-espana,17,01
14,"1,5%",2019,paramountchannel,17,01
15,"1,5%",2019,gol-television,17,01
16,"1,5%",2019,atreseries,17,01
17,"1,5%",2019,discoverymax,17,01
18,"0,9%",2019,dkiss,17,01
19,"0,9%",2019,boing,17,01
20,"0,9%",2019,canal24horas,17,01
21,"0,9%",2019,disney-channel,17,01
22,"0,7%",2019,teledeporte,17,01
23,"0,4%",2019,ten,17,01
24,"0,4%",2019,bemadtv,17,01
25,"0,1%",2019,real-madrid-tv,17,01
0,"15,4%",2019,telecinco,18,01
1,"15,0%",2019,antena3,18,01
2,"8,5%",2019,la1,18,01
3,"7,3%",2019,lasexta,18,01
4,"4,8%",2019,cuatro,18,01
5,"2,8%",2019,fdf,18,01
6,"2,4%",2019,la2,18,01
7,"2,3%",2019,neox,18,01
8,"2,2%",2019,nova,18,01
9,"2,1%",2019,energy,18,01
10,"1,9%",2019,clan,18,01
11,"1,8%",2019,discoverymax,18,01
12,"1,6%",2019,13tv,18,01
13,"1,6%",2019,divinity,18,01
14,"1,6%",2019,paramountchannel,18,01
15,"1,5%",2019,atreseries,18,01
16,"1,4%",2019,gol-television,18,01
17,"1,3%",2019,mega-espana,18,01
18,"1,2%",2019,boing,18,01
19,"1,1%",2019,disney-channel,18,01
20,"0,9%",2019,canal24horas,18,01
21,"0,7%",2019,bemadtv,18,01
22,"0,7%",2019,dkiss,18,01
23,"0,3%",2019,ten,18,01
24,"0,2%",2019,teledeporte,18,01
25,"0,2%",2019,real-madrid-tv,18,01
0,"12,5%",2019,antena3,19,01
1,"12,1%",2019,telecinco,19,01
2,"9,1%",2019,la1,19,01
3,"6,8%",2019,lasexta,19,01
4,"5,9%",2019,cuatro,19,01
5,"2,7%",2019,fdf,19,01
6,"2,6%",2019,la2,19,01
7,"2,4%",2019,energy,19,01
8,"2,1%",2019,neox,19,01
9,"1,9%",2019,clan,19,01
10,"1,8%",2019,13tv,19,01
11,"1,8%",2019,divinity,19,01
12,"1,6%",2019,nova,19,01
13,"1,6%",2019,paramountchannel,19,01
14,"1,5%",2019,atreseries,19,01
15,"1,5%",2019,discoverymax,19,01
16,"1,4%",2019,disney-channel,19,01
17,"1,4%",2019,canal24horas,19,01
18,"1,4%",2019,boing,19,01
19,"1,0%",2019,mega-espana,19,01
20,"1,0%",2019,gol-television,19,01
21,"0,9%",2019,dkiss,19,01
22,"0,7%",2019,bemadtv,19,01
23,"0,6%",2019,teledeporte,19,01
24,"0,5%",2019,real-madrid-tv,19,01
25,"0,4%",2019,ten,19,01
0,"12,9%",2019,antena3,20,01
1,"12,3%",2019,telecinco,20,01
2,"9,8%",2019,la1,20,01
3,"6,5%",2019,cuatro,20,01
4,"5,8%",2019,lasexta,20,01
5,"2,8%",2019,la2,20,01
6,"2,6%",2019,energy,20,01
7,"2,5%",2019,fdf,20,01
8,"2,5%",2019,13tv,20,01
9,"1,9%",2019,paramountchannel,20,01
10,"1,8%",2019,neox,20,01
11,"1,7%",2019,nova,20,01
12,"1,7%",2019,clan,20,01
13,"1,6%",2019,divinity,20,01
14,"1,5%",2019,discoverymax,20,01
15,"1,5%",2019,mega-espana,20,01
16,"1,4%",2019,canal24horas,20,01
17,"1,2%",2019,atreseries,20,01
18,"1,0%",2019,boing,20,01
19,"1,0%",2019,disney-channel,20,01
20,"0,8%",2019,gol-television,20,01
21,"0,8%",2019,bemadtv,20,01
22,"0,7%",2019,dkiss,20,01
23,"0,5%",2019,teledeporte,20,01
24,"0,4%",2019,real-madrid-tv,20,01
25,"0,3%",2019,ten,20,01
0,"15,5%",2019,antena3,21,01
1,"14,4%",2019,telecinco,21,01
2,"8,9%",2019,la1,21,01
3,"8,6%",2019,lasexta,21,01
4,"5,3%",2019,cuatro,21,01
5,"2,7%",2019,nova,21,01
6,"2,6%",2019,fdf,21,01
7,"2,6%",2019,la2,21,01
8,"2,1%",2019,neox,21,01
9,"2,1%",2019,13tv,21,01
10,"1,8%",2019,energy,21,01
11,"1,7%",2019,paramountchannel,21,01
12,"1,6%",2019,clan,21,01
13,"1,5%",2019,discoverymax,21,01
14,"1,5%",2019,mega-espana,21,01
15,"1,4%",2019,divinity,21,01
16,"1,2%",2019,canal24horas,21,01
17,"1,2%",2019,atreseries,21,01
18,"1,0%",2019,disney-channel,21,01
19,"0,9%",2019,gol-television,21,01
20,"0,8%",2019,dkiss,21,01
21,"0,8%",2019,boing,21,01
22,"0,6%",2019,teledeporte,21,01
23,"0,4%",2019,ten,21,01
